title,code
principal scientist,19-2041
"research associate, policy",19-2041
senior advisor,19-2041
senior advocate,19-2041
"senior associate, climate and energy program",19-2041
senior climate advisor,19-2041
senior policy analyst,19-2041
senior policy associate,19-2041
staff climate scientist,19-2041
coastal and estuary specialist,19-2041
"director, forest restoration institute",19-2041
"director, river restoration",19-2041
"fish and wildlife biologist, endangered species conservation and recovery",19-2041
fisheries habitat restoration specialist,19-2041
marine habitat resource specialist,19-2041
"program manager, environmental planning",19-2041
watershed coordinator,19-2041
ecologist,19-2041
environmental programs manager,19-2041
environmental protection agency counselor,19-2041
environmental sustainability manager,19-2041
research environmental engineer,19-2041
engineering geologist,19-2042
environmental protection geologist,19-2042
geological specialist,19-2042
project geologist,19-2042
groundwater consultant,19-2043
groundwater programs director,19-2043
research hydrologist,19-2043
source water protection specialist,19-2043
data analytics chief scientist,19-2099
geospatial intelligence analyst,19-2099
remote sensing analyst,19-2099
remote sensing program manager,19-2099
remote sensing scientist,19-2099
sensor specialist,19-2099
economic analysis director,19-3011
economic analyst,19-3011
economic consultant,19-3011
forensic economist,19-3011
health researcher,19-3011
project economist,19-3011
natural resource economist,19-3011
principal associate,19-3011
principal research economist,19-3011
resource economist,19-3011
senior economist,19-3011
market survey representative,19-3022
research methodologist,19-3022
bilingual school psychologist,19-3031
child study team director,19-3031
early intervention school psychologist,19-3031
psychologist,19-3031
school psychometrist,19-3031
licensed clinical psychologist,19-3031
licensed psychologist,19-3031
licensed psychologist manager,19-3031
applied behavior science specialist (abss),19-3031
counseling psychologist,19-3031
counseling services director,19-3031
senior staff psychologist,19-3031
assessment services manager,19-3032
industrial/organizational psychologist (i/o psychologist),19-3032
organizational consultant,19-3032
aviation neuropsychologist,19-3039
clinical neuropsychologist,19-3039
mental health director,19-3039
neuropsychology director,19-3039
neuropsychology division chief,19-3039
neuropsychology medical consultant,19-3039
neuropsychology service director,19-3039
pediatric neuropsychologist,19-3039
research and development manager (r&d manager),19-3041
research and evaluation manager,19-3041
research center director,19-3041
community development director,19-3051
housing development specialist,19-3051
housing grant analyst,19-3051
neighborhood planner,19-3051
urban design consultant,19-3051
american indian policy specialist,19-3091
medical anthropology director,19-3091
associate director,19-3091
director of research center,19-3091
principal archaeologist,19-3091
earth observations chief scientist (nasa),19-3092
environmental affairs corporate director,19-3092
geographic information systems program director (gis program director),19-3092
gis geographer (geographic information systems geographer),19-3092
gis physical scientist (geographic information systems physical scientist),19-3092
supervisory geographer,19-3092
administrative volunteer,19-3093
county historian,19-3093
county records management officer (county rmo),19-3093
historic interpreter,19-3093
historic sites registrar,19-3093
international affairs vice president,19-3094
state-federal relations deputy director,19-3094
seaport planning manager,19-3099
strategic planning and development vice president,19-3099
traffic engineering director,19-3099
traffic incident management manager,19-3099
transit planning director,19-3099
transit planning manager,19-3099
agricultural research technician,19-4011
agricultural research technologist,19-4011
senior agricultural assistant,19-4011
central lab technician (clt),19-4011
lab tech (laboratory technician),19-4011
technical services analyst,19-4011
biological science laboratory technician,19-4021
biological science technician,19-4021
biological technician,19-4021
wildlife biology technician,19-4021
formulation technician,19-4031
laboratory analyst (lab analyst),19-4031
laboratory tester (lab tester),19-4031
organic preparation analyst (organic prep analyst),19-4031
exploration manager,19-4041
geological e-logger,19-4041
geological technician,19-4041
geoscience technician,19-4041
geotechnician,19-4041
soils technician,19-4041
electron microprobe operator,19-4041
environmental field services technician,19-4041
materials technician,19-4041
organic section technical lead,19-4041
physical science technician,19-4041
licensed nuclear operator,19-4051
non-licensed nuclear equipment operator (nlo),19-4051
non-licensed nuclear plant operator (nlo),19-4051
nuclear auxiliary operator,19-4051
nuclear equipment operator (neo),19-4051
nuclear plant equipment operator (napeo),19-4051
health physics technician (hp technician),19-4051
nuclear chemistry technician,19-4051
radiation control technician (radcon technician),19-4051
radiation protection specialist (rp specialist),19-4051
radiation protection technician (rp technician),19-4051
senior health physics technician,19-4051
senior radiation protection technician,19-4051
social research assistant,19-4061
development and housing director,19-4061
planning aide,19-4061
planning assistant,19-4061
planning intern,19-4061
zoning technician,19-4061
environmental health specialist,19-4091
laboratory specialist,19-4091
process laboratory specialist,19-4091
public health sanitarian,19-4091
crime laboratory analyst,19-4092
crime scene analyst,19-4092
crime scene technician (crime scene tech),19-4092
csi (crime scene investigator),19-4092
resource technician,19-4093
analyst microbiology lab,19-4099
analytical lab analyst,19-4099
ethanol quality leader,19-4099
lab tech,19-4099
laboratory analyst,19-4099
micro lab analyst,19-4099
crop specialist,19-4099
independent crop consultant,19-4099
nutrient management specialist,19-4099
precision agriculture specialist,19-4099
precision agronomist,19-4099
precision farming coordinator,19-4099
regional agronomist,19-4099
soil fertility specialist,19-4099
aerial photo lab manager digital imaging/cad tech,19-4099
aerial sensing equipment/camera and lidar/geospatial extraction,19-4099
digital cartographic technician,19-4099
"geospatial extractor, analysis",19-4099
ip/mosaic technician,19-4099
meteorologist liaison,19-4099
chemical dependency counselor (cd counselor),21-1011
chemical dependency professional,21-1011
correctional substance abuse counselor,21-1011
drug and alcohol treatment specialist (dats),21-1011
prevention specialist,21-1011
substance abuse counselor (sa counselor),21-1011
academic advisor,21-1012
academic counselor,21-1012
career center director,21-1012
advanced clinical specialist,21-1013
licensed marriage and family therapist (lmft),21-1013
marriage and family therapist (mft),21-1013
behavior support specialist (bss),21-1014
human services care specialist,21-1015
program specialist,21-1015
vocational case manager,21-1015
vocational placement specialist,21-1015
vocational rehabilitation counselor (vcr),21-1015
child protective services social worker (cps social worker),21-1021
family protection specialist,21-1021
youth services specialist,21-1021
dialysis social worker,21-1022
director of social work,21-1022
social work case manager,21-1022
child development specialist,21-1091
community health consultant,21-1091
health promotion specialist,21-1091
adult probation officer,21-1092
deputy juvenile officer,21-1092
deputy probation officer (dpo),21-1092
probation and parole officer,21-1092
probation counselor,21-1092
community coordinator,21-1093
home based assistant,21-1093
human services program specialist,21-1093
social services assistant,21-1093
social work associate,21-1093
apprise counselor,21-1094
assistant director of nutrition and wellness programs,21-1094
chief program officer,21-1094
community health outreach worker,21-1094
community health program coordinator,21-1094
community health program representative (community health program rep),21-1094
community health promoter,21-1094
community nutrition educator,21-1094
hiv cts specialist (human immunodeficiency virus counseling and testing services specialist),21-1094
catholic priest,21-2011
children's minister,21-2011
confessor,21-2011
congregational care pastor,21-2011
missionary coordinator,21-2011
rector,21-2011
adult ministries director,21-2021
children's ministries director,21-2021
christian education director,21-2021
senior adults director,21-2021
women's ministry director,21-2021
youth director,21-2021
partner,23-1011
appellate law clerk,23-1012
career law clerk,23-1012
clerk to justice,23-1012
federal law clerk,23-1012
judicial law clerk,23-1012
adjudicator,23-1021
administrative hearing officer,23-1021
administrative judge,23-1021
administrative law judge,23-1021
workers' compensation hearings officer,23-1021
alternative dispute resolution coordinator (adr coordinator),23-1022
alternative dispute resolution mediator (adr mediator),23-1022
arbiter,23-1022
family mediator,23-1022
federal mediator,23-1022
labor arbitrator,23-1022
public employment mediator,23-1022
circuit judge,23-1023
county judge,23-1023
court of appeals judge,23-1023
magistrate,23-1023
municipal court judge,23-1023
superior court judge,23-1023
certified paralegal,23-2011
immigration paralegal,23-2011
legal analyst,23-2011
paralegal specialist,23-2011
real estate paralegal,23-2011
summer law associate,23-2011
certified shorthand reporter (csr),23-2091
court reporter,23-2091
digital court reporter,23-2091
freelance court reporter,23-2091
official court reporter,23-2091
realtime court reporter,23-2091
abstracter,23-2093
abstractor,23-2093
commercial title examiner,23-2093
title abstractor,23-2093
title department manager,23-2093
business office technology instructor,25-1011
computer information systems instructor (cis instructor),25-1021
computer science instructor,25-1021
information technology instructor (it instructor),25-1021
assistant professor of mathematics,25-1022
mathematics instructor (math instructor),25-1022
mathematics lecturer,25-1022
professor of mathematics,25-1022
engineering instructor,25-1032
agriculture instructor,25-1041
agriculture professor,25-1041
horticulture professor,25-1041
plant science professor,25-1041
assistant professor of biology,25-1042
biological sciences professor,25-1042
biology instructor,25-1042
biology professor,25-1042
extension professor,25-1043
forestry extension specialist,25-1043
forestry professor,25-1043
associate professor of geology,25-1051
atmospheric sciences professor,25-1051
associate professor of chemistry,25-1052
chemistry faculty member,25-1052
chemistry instructor,25-1052
professor of chemistry,25-1052
associate professor of environmental science,25-1053
environmental sciences professor,25-1053
professor of environmental science,25-1053
assistant professor of physics,25-1054
math and physics instructor,25-1054
professor of physics,25-1054
assistant professor of anthropology,25-1061
associate professor of anthropology,25-1061
adjunct instructor of women's studies,25-1062
american studies professor,25-1062
ethnic studies professor,25-1062
modern greek studies professor,25-1062
assistant professor of economics,25-1063
associate professor of economics,25-1063
economics instructor,25-1063
assistant professor of geography,25-1064
associate professor of geography,25-1064
geography instructor,25-1064
geography professor,25-1064
professor of geography,25-1064
assistant professor of political science,25-1065
associate professor of political science,25-1065
political science instructor,25-1065
professor of political science,25-1065
associate professor of psychology,25-1066
professor of psychology,25-1066
psychology instructor,25-1066
assistant professor of sociology,25-1067
associate professor of sociology,25-1067
professor of sociology,25-1067
sociology instructor,25-1067
clinical education academic coordinator,25-1071
assistant professor of nursing,25-1072
nursing faculty,25-1072
assistant professor of education,25-1081
associate professor of education,25-1081
education professor,25-1081
professor of education,25-1081
adjunct instructor library technical assistant program,25-1082
associate professor of library science,25-1082
library science professor,25-1082
library technology instructor,25-1082
assistant professor of criminal justice,25-1111
associate professor of criminal justice,25-1111
professor of criminal justice,25-1111
adjunct professor of law,25-1112
clinical law professor,25-1112
legal writing professor,25-1112
professor of law,25-1112
bachelor of social work program coordinator (bsw program coordinator),25-1113
social work instructor,25-1113
social work lecturer,25-1113
art history professor,25-1121
art professor,25-1121
assistant professor of music,25-1121
dance professor,25-1121
professor of music,25-1121
communication instructor,25-1122
communication lecturer,25-1122
communication professor,25-1122
mass communications professor,25-1122
assistant professor of english,25-1123
associate professor of english,25-1123
general education instructor,25-1123
professor of english,25-1123
assistant professor of spanish,25-1124
instructor of spanish,25-1124
modern languages professor,25-1124
spanish instructor,25-1124
spanish professor,25-1124
history instructor,25-1125
professor of history,25-1125
assistant professor of philosophy,25-1126
philosophy instructor,25-1126
professor of philosophy,25-1126
religion professor,25-1126
graduate fellow,25-1191
graduate student,25-1191
graduate student instructor (gsi),25-1191
graduate teaching assistant (gta),25-1191
research assistant (ra),25-1191
teaching assistant (ta),25-1191
didactic program in dietetics program director (dpd program director),25-1192
dietetics professor,25-1192
family and consumer sciences professor (facs professor),25-1192
food and nutrition professor,25-1192
health and physical education professor (hpe professor),25-1193
"health, physical education, and recreation professor (hper professor)",25-1193
physical education professor (pe professor),25-1193
sports management professor,25-1193
practical nursing instructor,25-1194
group teacher,25-2011
headstart teacher,25-2011
pre-kindergarten teacher (pre-k teacher),25-2011
kinder teacher,25-2012
kindergarten classroom teacher,25-2012
title one kindergarten teacher,25-2012
transitional kindergarten teacher,25-2012
1st grade teacher,25-2021
elementary education teacher,25-2021
elementary teacher,25-2021
second grade teacher,25-2021
middle school teacher,25-2022
computer technology teacher,25-2023
secondary teacher,25-2031
agricultural education teacher,25-2032
allied health teacher,25-2032
marketing education teacher,25-2032
early childhood special education teacher (ec special education teacher),25-2051
preschool special education teacher,25-2051
severe emotional disorders elementary teacher (sed elementary teacher),25-2052
exceptional children teacher (ec teacher),25-2053
inclusion teacher,25-2053
self-contained special education teacher,25-2053
career and transition teacher,25-2054
learning disabilities special education teacher (ld special education teacher),25-2054
adapted physical education or adapted physical activity specialist,25-2059
adapted physical education specialist,25-2059
adapted physical education specialist-workshop leader,25-2059
certified adapted physical educator,25-2059
adult basic education instructor (abe instructor),25-3011
adult basic education teacher (abe teacher),25-3011
english as a second language instructor (esl instructor),25-3011
ged teacher (general educational development teacher),25-3011
general educational development instructor (ged instructor),25-3011
flute teacher,25-3021
gymnastics instructor,25-3021
scuba diving instructor,25-3021
academic guidance specialist,25-3099
accounting/finance tutor,25-3099
adult basic education instructor,25-3099
center director,25-3099
director of academic support,25-3099
learning services coordinator,25-3099
professional tutor,25-3099
reading efficiency course director,25-3099
tutorial laboratory supervisor (tutorial lab supervisor),25-3099
archival records clerk,25-4011
archives director,25-4011
collections director,25-4011
manuscripts curator,25-4011
university archivist,25-4011
associate curator,25-4012
curator of education,25-4012
exhibitions curator,25-4012
gallery director,25-4012
conservator,25-4013
exhibit technician,25-4013
preparator,25-4013
public services librarian,25-4021
library media technician,25-4031
library technical assistant (lta),25-4031
page technician,25-4031
audio visual coordinator,25-9011
extension agent,25-9021
extension educator,25-9021
family development extension specialist,25-9021
family resource management extension specialist,25-9021
marine extension agent,25-9021
natural resources extension educator,25-9021
career technical supervisor,25-9031
school standards coach,25-9031
"director, educational research and product strategy",25-9031
instructional designer,25-9031
it senior analyst (instructional technology senior analyst),25-9031
lead performance support analyst,25-9031
learning development specialist,25-9031
senior instructional designer,25-9031
"team lead, teacher support and student intervention",25-9031
educational technician,25-9041
teaching assistant,25-9041
creative guru,27-1011
"director of creative services, consumer products",27-1011
group art supervisor,27-1011
senior art director,27-1011
fiber artist,27-1012
fine craft artist,27-1012
hand-weaver,27-1012
automotive artist,27-1013
fine artist,27-1013
ice carver,27-1013
3d artist,27-1014
animation director,27-1014
industrial designer,27-1021
product development engineer,27-1021
apparel fashion designer,27-1022
historic clothing and costume maker,27-1022
latex fashions designer,27-1022
floral clerk,27-1023
floral department specialist,27-1023
floral designer,27-1023
flower shop laborer/designer,27-1023
wedding decorator,27-1023
online producer,27-1024
publications designer,27-1024
decorating consultant,27-1025
interior design consultant,27-1025
interior design coordinator,27-1025
interior design director,27-1025
interior design principal,27-1025
interior design project manager,27-1025
showroom executive director,27-1025
display associate,27-1026
in-store marketing associate,27-1026
visual manager,27-1026
visual merchandiser (vm),27-1026
visual merchandising manager,27-1026
design chief,27-1027
display coordinator,27-1027
exhibit designer,27-1027
show design supervisor,27-1027
community theater actor,27-2011
ensemble member,27-2011
tour actor,27-2011
executive producer,27-2012
television producer (tv producer),27-2012
assistant director,27-2012
associate artistic director,27-2012
television director (tv director),27-2012
programming director,27-2012
television program director (tv program director),27-2012
artistic associate,27-2012
casting agent,27-2012
casting assistant,27-2012
casting associate,27-2012
casting coordinator,27-2012
extras casting director,27-2012
engineering production operations director,27-2012
golf professional,27-2021
major league baseball player,27-2021
minor league baseball player,27-2021
professional athlete,27-2021
professional golf tournament player,27-2021
assistant basketball coach,27-2022
assistant coach,27-2022
assistant football coach,27-2022
cross country/track and field coach,27-2022
volleyball coach,27-2022
basketball referee,27-2023
commissioner of officials,27-2023
director of officiating,27-2023
major league baseball umpire,27-2023
softball umpire,27-2023
sports official,27-2023
supervisor of officials,27-2023
belly dancer,27-2031
company dancer,27-2031
performing artist,27-2031
soloist dancer,27-2031
children's choir director,27-2041
handbell choir director,27-2041
liturgical music director,27-2041
music ministries director,27-2041
film composer,27-2041
music composer,27-2041
gospel singer,27-2042
singer songwriter,27-2042
singing telegram performer,27-2042
orchestra musician,27-2042
dj (disc jockey),27-3011
morning show host,27-3011
radio announcer,27-3011
disc jockey (dj),27-3012
event host,27-3012
master of ceremonies (mc),27-3012
mobile disc jockey (mobile dj),27-3012
public address announcer (pa announcer),27-3012
track announcer,27-3012
content director,27-3021
radio news anchor,27-3021
radio talk show host,27-3021
general assignment reporter,27-3022
staff writer,27-3022
television news reporter,27-3022
television reporter (tv reporter),27-3022
corporate communications specialist,27-3031
public affairs specialist,27-3031
public information specialist,27-3031
public relations coordinator,27-3031
public relations specialist (pr specialist),27-3031
acquisitions editor,27-3041
business editor,27-3041
features editor,27-3041
legal editor,27-3041
newspaper copy editor,27-3041
science editor,27-3041
documentation designer,27-3042
expert medical writer,27-3042
information developer,27-3042
narrative writer,27-3042
requirements analyst,27-3042
senior technical writer,27-3042
advertising writer,27-3043
freelance copywriter,27-3043
web content writer,27-3043
book author,27-3043
children's book author,27-3043
creative writer,27-3043
fiction and nonfiction author,27-3043
freelance writer,27-3043
educational interpreter,27-3091
medical interpreter,27-3091
paraprofessional interpreter,27-3091
sign language interpreter,27-3091
spanish interpreter,27-3091
technical translator,27-3091
audio/visual manager,27-4011
airline operations agent,27-4013
flight communications specialist,27-4013
radio electronics officer (reo),27-4013
radio electronics technician (ret),27-4013
telecommunication operator,27-4013
master control operator,27-4014
sound engineer,27-4014
commercial photographer,27-4021
newspaper photographer,27-4021
owner/photographer,27-4021
photo editor,27-4021
sports photographer,27-4021
studio owner,27-4021
floor director,27-4031
studio camera operator,27-4031
television news photographer,27-4031
assistant film editor,27-4032
non-linear editor,27-4032
online editor,27-4032
associate doctor,29-1011
chiropractic care,29-1011
chiropractic doctor (dc),29-1011
"chiropractor, sole practitioner",29-1011
doctor of chiropractic,29-1011
doctorate of chiropractic,29-1011
associate dentist,29-1021
dental surgery doctor (dds),29-1021
dentist,29-1021
dentist/owner,29-1021
doctor of dental medicine (dmd),29-1021
general dentist,29-1021
general dentist/owner,29-1021
dental service chief,29-1022
oral and maxillofacial surgeon (oms),29-1022
oral and maxillofacial surgeon-practice owner,29-1022
oral and maxillofacial surgery,29-1022
oral and maxillofacial surgery resident,29-1022
resident surgeon,29-1022
board certified orthodontist,29-1023
"orthodontist, small business owner",29-1023
"orthodontist, vice president",29-1023
specialist in orthodontics and dentofacial orthopedics,29-1023
"doctor of dental science, prosthodontist",29-1024
prosthetic dentist,29-1024
"prosthodontist, assistant clinical professor",29-1024
prosthodontist/educator,29-1024
prosthodontist/owner,29-1024
prosthodontist/restorative/reconstructive dentist,29-1024
removable prosthodontist,29-1024
clinical dietician,29-1031
correctional food service supervisor,29-1031
outpatient dietitian,29-1031
pediatric clinical dietician,29-1031
registered dietician,29-1031
registered dietitian,29-1031
"chief, optometry service",29-1041
doctor of optometry (od),29-1041
eye clinic manager,29-1041
independent contractor,29-1041
"optometrist, owner",29-1041
"optometrist, president/practice owner",29-1041
optometrist/practice owner,29-1041
outpatient pharmacy manager,29-1051
pharmacist,29-1051
pharmacist in charge (pic),29-1051
"pharmacist in charge, owner (pic, owner)",29-1051
pharmacy informaticist,29-1051
staff pharmacist,29-1051
"staff pharmacist, hospital",29-1051
anesthesia associate,29-1061
anesthesia director,29-1061
anesthesia resident,29-1061
physician anesthesiologist,29-1061
staff anesthesiologist,29-1061
family practice medical doctor (fp md),29-1062
medical staff physician,29-1062
primary care physician,29-1062
clinic md associate (clinic medical doctor associate),29-1063
internal medicine doctor,29-1063
ob/gyn (obstetrician / gynecologist),29-1064
ob/gyn physician (obstetrics and gynecology physician),29-1064
obstetrician/gynecologist (ob/gyn),29-1064
obstetrics gynecology md (ob/gyn md),29-1064
obstetrics gynecology physician (ob/gyn physician),29-1064
physician gynecologist,29-1064
adolescent medicine specialist,29-1065
"chief, general pediatric clinic",29-1065
group practice pediatrician,29-1065
"pediatrician, partner in private medical practice",29-1065
adult psychiatrist,29-1066
child & adolescent psychiatrist,29-1066
consulting psychiatrist,29-1066
outpatient psychiatrist,29-1066
prison psychiatrist,29-1066
general surgeon,29-1067
hand surgeon,29-1067
allergist,29-1069
allergist/immunologist,29-1069
"allergist/immunologist, physician",29-1069
allergist/md,29-1069
allergist/pediatric pulmonologist,29-1069
allergy and immunology specialist,29-1069
allergy physician,29-1069
md pediatric allergist,29-1069
"physician, owner of independent medical practice",29-1069
dermatologist and dermatopathologist,29-1069
"dermatologist, clinical investigator, dermatopathologist",29-1069
"dermatologist, managing partner",29-1069
md physician-dermatologist,29-1069
medical doctor md,29-1069
mohs surgeon/general dermatologist,29-1069
practicing dermatologist,29-1069
senior physician,29-1069
academic hospitalist,29-1069
"associate chief, section of hospital medicine",29-1069
chief of hospital medicine,29-1069
chief of internal medicine,29-1069
hospital medicine director,29-1069
hospitalist,29-1069
hospitalist medical director,29-1069
hospitalist program director,29-1069
inpatient services director,29-1069
adult and pediatric neurologist,29-1069
adult neurologist,29-1069
director of adult epilepsy,29-1069
"director, inpatient headache program",29-1069
general neurologist,29-1069
medical director of ms treatment and research center,29-1069
neurologist and director of medical research,29-1069
pediatric neurologist,29-1069
assistant professor of radiology,29-1069
associate professor of medicine,29-1069
associate professor of radiology,29-1069
director of nuclear medicine,29-1069
"medical director, nuclear medicine department",29-1069
"medical doctor, nuclear medicine",29-1069
nuclear medicine medical director,29-1069
nuclear medicine physician,29-1069
nuclear medicine specialist,29-1069
comprehensive ophthalmologist,29-1069
"director, emergency ophthalmology services",29-1069
general ophthalmologist,29-1069
ophthalmologist-retina specialist,29-1069
pediatric ophthalmologist,29-1069
retina subspecialist,29-1069
retinal surgeon,29-1069
vitreo-retinal surgeon,29-1069
anatomic pathologist,29-1069
associate pathologist,29-1069
attending pathologist,29-1069
cytopathologist,29-1069
dermatopathologist,29-1069
pathology laboratory director,29-1069
"attending physiatrist, residency program director",29-1069
doctor of medicine/physical medicine and rehabilitation pm&r specialist,29-1069
medical director acute rehabilitation unit physiatrist,29-1069
pain management physician,29-1069
pediatric physiatrist,29-1069
"physical medicine and rehabilitation physician, medical director",29-1069
rehabilitation physician,29-1069
preventive medicine physician,29-1069
primary clinician,29-1069
regional medical director,29-1069
residency director,29-1069
attending radiologist,29-1069
diagnostic radiologist,29-1069
interventional neuroradiologist,29-1069
interventional radiologist,29-1069
neuroradiologist,29-1069
"radiologist, chief of breast imaging",29-1069
radiology resident,29-1069
staff radiologist,29-1069
athletic team physician,29-1069
"director of athletic medicine, head team physician",29-1069
director of sports medicine,29-1069
family medicine/sports medicine specialist/team physician,29-1069
head orthopedic team physician,29-1069
nonsurgical primary care sports medicine physician,29-1069
sports medicine physician,29-1069
team physician,29-1069
acute care physician,29-1069
attending urologist,29-1069
chief of pediatric urology,29-1069
md urologist,29-1069
medical doctor,29-1069
urologist md,29-1069
certified physician assistant (pa-c),29-1071
clinical physician assistant,29-1071
general surgery physician assistant,29-1071
midlevel provider,29-1071
physician assistant certified (pac),29-1071
physician extender,29-1071
physician's assistant,29-1071
anesthesia assistant,29-1071
anesthesia tech,29-1071
anesthesiologist assistant-certified,29-1071
anesthesiologists' assistant,29-1071
cardiothoracic anesthesia technician,29-1071
certified anesthesia technician and technologist,29-1071
oral surgery assistant-clinical coordinator,29-1071
doctor of podiatric medicine (dpm),29-1081
doctor podiatric medicine (dpm),29-1081
podiatric surgeon,29-1081
podiatrist,29-1081
practitioner,29-1081
assistive technology trainer,29-1122
early intervention occupational therapist,29-1122
industrial rehabilitation consultant,29-1122
occupational therapist (ot),29-1122
occupational therapy co-director,29-1122
pediatric occupational therapist,29-1122
rehabilitation supervisor,29-1122
staff occupational therapist,29-1122
certified low vision therapist,29-1122
certified orientation & mobility specialist,29-1122
certified orientation and mobility specialist (coms),29-1122
mobility specialist,29-1122
orientation & mobility specialist,29-1122
orientation and mobility instructor,29-1122
orientation and mobility specialist,29-1122
teacher of students with visual impairments (tvi),29-1122
vision rehabilitation therapist (vrt),29-1122
chief physical therapist,29-1123
home care physical therapist,29-1123
outpatient physical therapist,29-1123
per diem physical therapist,29-1123
physical therapist (pt),29-1123
"physical therapist, director of rehabilitation",29-1123
registered physical therapist (rpt),29-1123
rehabilitation services director,29-1123
staff physical therapist (staff pt),29-1123
chief radiation therapist (chief rt),29-1124
computed tomography simulation therapist (ct simulation therapist),29-1124
lead radiation therapist,29-1124
medical dosimetrist,29-1124
radiation therapy technologist (rtt),29-1124
senior radiation therapist,29-1124
staff radiation therapist,29-1124
general activities therapist,29-1125
recreation therapist,29-1125
rehabilitation therapist,29-1125
art psychotherapist,29-1125
art therapist/licensed professional counselor (art therapist/lpc),29-1125
bereavement program coordinator,29-1125
children's program coordinator,29-1125
counselor/art therapist,29-1125
day treatment clinician/art therapist,29-1125
director of community life,29-1125
group therapist,29-1125
registered & board certified art therapist,29-1125
board certified music therapist,29-1125
director of music therapy,29-1125
"director, private music therapy agency",29-1125
hospice music therapy,29-1125
"music therapist, primary service coordinator",29-1125
"music therapist, public school system",29-1125
cardiopulmonary rehabilitation respiratory therapist,29-1126
cardiopulmonary technician and eeg tech (cardiopulmonary technician and electroencephalogram technician),29-1126
clinical coordinator of respiratory therapy,29-1126
registered respiratory therapist (rrt),29-1126
respiratory care practitioner (rcp),29-1126
respiratory therapist (rt),29-1126
staff respiratory therapist,29-1126
bilingual speech-language pathologist,29-1127
educational speech-language clinician,29-1127
speech and language clinician,29-1127
speech-language pathologist (slp),29-1127
speech/language therapist,29-1127
bariatric weight loss clinic manager and counselor,29-1128
cardiac rehabilitation program director,29-1128
"clinical coordinator, heart failure cardiac rehabilitation",29-1128
clinical exercise specialist,29-1128
coordinator cardiopulmonary services,29-1128
director of cardiac rehabilitation,29-1128
director of rehabilitation and wellness,29-1128
exercise physiologist,29-1128
"exercise physiologist, lifestyle and weight management consultant",29-1128
associate veterinarian,29-1131
emergency veterinarian,29-1131
equine vet (equine veterinarian),29-1131
mixed animal veterinarian,29-1131
staff veterinarian,29-1131
veterinarian (vet),29-1131
veterinary medicine doctor (dvm),29-1131
veterinary surgeon,29-1131
director of nursing (don),29-1141
emergency department rn (emergency department registered nurse),29-1141
oncology rn (oncology registered nurse),29-1141
operating room registered nurse (or rn),29-1141
public health nurse (phn),29-1141
registered nurse (rn),29-1141
school nurse,29-1141
staff nurse,29-1141
staff rn (staff registered nurse),29-1141
"charge nurse, cardiac interventional care",29-1141
clinical staff educator,29-1141
preceptor,29-1141
progressive care unit registered nurse,29-1141
"administrative director, behavioral health services",29-1141
adult psychiatric mental health nurse practitioner,29-1141
advanced practice nurse psychotherapist (apn psychotherapist),29-1141
advanced practice psychiatric nurse,29-1141
associate chief nurse,29-1141
associate director of nursing,29-1141
coordinator of the psychiatric liaison service,29-1141
deputy director of clinical specialty services,29-1141
psychiatric clinical nurse specialist,29-1141
psychiatric mental health nurse (pmh nurse),29-1141
burn center nurse,29-1141
cardiac catheterization laboratory registered nurse,29-1141
catheterization laboratory senior manager (cath lab senior manager),29-1141
critical care registered nurse (ccrn),29-1141
critical care unit manager,29-1141
icu staff nurse (intensive care unit staff nurse),29-1141
intensive care unit nurse,29-1141
registered nurse supervisor (rn supervisor),29-1141
"staff nurse, icu resource team (staff nurse, intensive care unit resource team)",29-1141
"board certified clinical nurse specialist, diabetes",29-1141
cardiology clinical nurse specialist,29-1141
cardiothoracic surgery clinical nurse specialist,29-1141
cardiovascular clinical nurse specialist,29-1141
clinical nurse specialist,29-1141
critical care clinical nurse specialist,29-1141
emergency department clinical nurse specialist,29-1141
intensive care unit clinical nurse specialist,29-1141
nurse clinician,29-1141
pediatric clinical nurse specialist,29-1141
associate professor program director nurse anesthesia,29-1151
chief certified registered nurse anesthetist (chief crna),29-1151
chief nurse anesthetist,29-1151
professor/nurse anesthetist,29-1151
senior certified registered nurse anesthetist (senior crna),29-1151
staff certified registered nurse anesthetist (staff crna),29-1151
"staff certified registered nurse anesthetist, anesthesia service (staff crna, anesthesia service)",29-1151
staff nurse anesthetist,29-1151
certified nurse-midwife,29-1161
clinical site coordinator and supervisor,29-1161
nurse midwife,29-1161
nurse midwife/clinical instructor,29-1161
"senior instructor, certified nurse midwife",29-1161
staff certified nurse midwife,29-1161
staff nurse midwife,29-1161
staff nurse-midwife,29-1161
advanced practice registered nurse (aprn),29-1171
family nurse practitioner,29-1171
family practice certified advanced registered nurse practitioner,29-1171
"nurse practitioner, adult",29-1171
women's health care nurse practitioner,29-1171
audiology director,29-1181
audiology doctor (aud),29-1181
certificate of clinical competence in audiology licensed audiologist (ccc-a licensed audiologist),29-1181
doctor of audiology,29-1181
acupuncture physician,29-1199
licensed acupuncturist,29-1199
chief medical officer,29-1199
"chief medical officer, naturopathic endocrinologist and oncologist",29-1199
doctor (dr),29-1199
doctor of naturopathic medicine,29-1199
naturopathic oncology provider,29-1199
certified orthoptist,29-1199
chief orthoptist,29-1199
clinical orthoptist (co),29-1199
orthoptist,29-1199
clinical laboratory scientist (cls),29-2011
